Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Cleveland Police,Ormesby,5,1,0,8,24,5,0,6,0,1,2
2011-12,Cleveland Police,Rossmere,0,0,2,7,22,11,2,5,1,0,0
2011-12,Cleveland Police,Brookfield,0,0,0,1,11,2,0,0,0,0,0
2011-12,Cleveland Police,Seaton,3,0,0,1,14,1,1,0,1,0,1
2011-12,Cleveland Police,Coulby Newham,2,0,1,4,30,5,0,2,0,3,3
2011-12,Cleveland Police,Newcomen,2,0,2,2,11,4,0,3,0,0,0
2011-12,Cleveland Police,Billingham South,5,0,3,7,40,9,3,8,1,2,4
2011-12,Cleveland Police,Dormanstown,2,0,1,7,27,8,0,7,2,1,4
2011-12,Cleveland Police,Newtown,10,0,4,5,49,17,0,7,5,2,2
2011-12,Cleveland Police,Acklam,0,0,4,5,13,2,0,3,0,0,1
2011-12,Cleveland Police,Burn Valley,3,0,2,4,36,9,1,5,1,0,0
2011-12,Cleveland Police,Beechwood,12,0,1,8,32,9,8,14,8,1,2
2011-12,Cleveland Police,Yarm,6,0,1,3,36,1,7,5,3,1,2
2011-12,Cleveland Police,Longbeck,0,0,1,3,8,4,0,2,0,0,0
2011-12,Cleveland Police,Grangefield,4,1,2,1,19,2,0,5,1,0,1
2011-12,Cleveland Police,Park - Middlesbrough,5,1,5,8,26,19,15,7,1,2,2
2011-12,Cleveland Police,Linthorpe,12,1,7,8,49,15,5,9,4,1,3
2011-12,Cleveland Police,Western Parishes,1,0,2,2,3,0,0,1,0,0,0
2011-12,Cleveland Police,Billingham West,1,0,1,2,16,4,0,2,0,0,0
2011-12,Cleveland Police,Ingleby Barwick West,3,0,3,2,22,9,1,4,2,0,1
2011-12,Cleveland Police,Ladgate,2,0,2,7,22,4,3,5,0,0,0
2011-12,Cleveland Police,Hardwick,5,0,5,4,33,12,0,6,0,0,0
2011-12,Cleveland Police,Brotton,0,0,1,3,32,11,0,1,3,1,1
2011-12,Cleveland Police,Hutton,2,0,0,0,20,3,0,6,1,0,3
2011-12,Cleveland Police,Grangetown,8,1,0,10,48,16,3,7,3,1,1
2011-12,Cleveland Police,Hemlington,1,0,1,8,29,9,3,2,1,3,1
2011-12,Cleveland Police,South Bank,4,0,11,7,40,21,16,9,4,0,7
2011-12,Cleveland Police,Throston,2,0,7,0,12,5,0,2,2,2,1
2011-12,Cleveland Police,Kader,2,0,2,0,13,4,3,3,1,0,0
2011-12,Cleveland Police,Guisborough,5,0,0,9,48,19,2,7,4,1,2
2011-12,Cleveland Police,Village,5,0,2,4,48,4,3,3,1,1,1
2011-12,Cleveland Police,Middlehaven,7,0,16,71,255,13,99,58,22,14,12
2011-12,Cleveland Police,Elwick,1,0,2,2,3,1,0,1,0,0,0
2011-12,Cleveland Police,University,4,1,9,10,64,10,0,9,7,3,1
2011-12,Cleveland Police,Lockwood,0,0,0,0,5,0,0,1,0,0,2
2011-12,Cleveland Police,Saltburn,3,0,0,6,26,4,2,4,0,1,2
2011-12,Cleveland Police,Stranton,4,2,4,59,185,21,20,15,18,12,7
2011-12,Cleveland Police,Teesville,3,0,1,4,47,10,2,6,0,1,4
2011-12,Cleveland Police,Owton,1,0,1,10,23,13,3,2,2,3,0
2011-12,Cleveland Police,Ingleby Barwick East,8,0,5,5,41,1,2,2,3,0,3
2011-12,Cleveland Police,Park End,4,0,5,8,44,23,5,4,3,0,2
2011-12,Cleveland Police,Hartburn,2,0,3,1,6,2,0,1,1,0,0
2011-12,Cleveland Police,Hart,1,0,1,4,22,5,0,2,0,0,1
2011-12,Cleveland Police,Coatham,16,0,8,27,92,13,12,11,7,2,7
2011-12,Cleveland Police,Fairfield,1,0,1,0,11,5,0,0,0,0,0
2011-12,Cleveland Police,Stockton Town Centre,7,0,5,38,193,21,47,36,9,6,7
2011-12,Cleveland Police,Marton West,0,0,0,3,8,0,0,2,0,0,0
2011-12,Cleveland Police,Foggy Furze,2,0,2,10,28,2,7,4,1,1,0
2011-12,Cleveland Police,Stainton and Thornton,1,0,1,1,4,4,0,0,1,0,1
2011-12,Cleveland Police,Beckfield,2,1,3,6,21,8,1,3,2,3,2
2011-12,Cleveland Police,St Germains,0,0,0,2,14,7,0,4,0,0,0
2011-12,Cleveland Police,Pallister,13,1,29,11,39,22,12,8,0,1,3
2011-12,Cleveland Police,Westworth,0,0,0,2,11,1,0,3,1,0,0
2011-12,Cleveland Police,Norton West,3,0,1,0,12,1,0,1,0,0,0
2011-12,Cleveland Police,Thorntree,6,0,14,7,46,26,0,9,5,0,3
2011-12,Cleveland Police,Rift House,4,0,0,10,30,7,7,6,3,0,1
2011-12,Cleveland Police,Eaglescliffe,3,0,5,4,13,3,0,1,0,0,2
2011-12,Cleveland Police,Marton,0,0,2,5,10,8,0,6,0,0,1
2011-12,Cleveland Police,Norton South,2,0,1,3,22,7,1,3,3,1,3
2011-12,Cleveland Police,Eston,6,0,5,6,62,10,4,4,1,0,4
