Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Derbyshire Constabulary,BX02,2,0,3,4,19,6,1,3,1,2,0
2011-12,Derbyshire Constabulary,BX03,2,0,2,5,21,2,2,1,0,0,0
2011-12,Derbyshire Constabulary,BX01,0,0,8,0,7,3,1,2,0,0,0
2011-12,Derbyshire Constabulary,BX06,3,0,7,3,25,3,1,1,6,2,1
2011-12,Derbyshire Constabulary,BX07,0,0,1,4,4,2,0,0,0,0,0
2011-12,Derbyshire Constabulary,BX04,0,0,1,1,5,0,0,1,0,0,0
2011-12,Derbyshire Constabulary,BX05,9,1,6,10,69,10,6,8,4,2,2
2011-12,Derbyshire Constabulary,DL04,13,1,7,15,37,14,7,9,7,2,2
2011-12,Derbyshire Constabulary,DL05,10,0,5,15,50,8,2,12,0,2,0
2011-12,Derbyshire Constabulary,DL06,5,0,3,20,24,10,13,7,4,0,2
2011-12,Derbyshire Constabulary,DL01,5,0,16,3,23,6,1,2,0,0,4
2011-12,Derbyshire Constabulary,DL02,7,0,3,1,20,8,0,5,1,3,1
2011-12,Derbyshire Constabulary,DL03,6,0,3,3,19,8,2,1,1,1,4
2011-12,Derbyshire Constabulary,DK03,4,1,2,12,29,6,5,3,2,2,1
2011-12,Derbyshire Constabulary,DK02,5,0,7,14,55,9,1,3,10,2,3
2011-12,Derbyshire Constabulary,DK01,10,0,1,6,33,4,0,5,2,1,0
2011-12,Derbyshire Constabulary,DK05,5,0,1,12,37,8,3,6,1,1,3
2011-12,Derbyshire Constabulary,DK04,3,1,5,23,62,17,17,6,12,4,2
2011-12,Derbyshire Constabulary,DW05,20,2,13,33,110,17,0,15,1,2,7
2011-12,Derbyshire Constabulary,DW04,13,0,14,39,123,17,4,22,24,12,10
2011-12,Derbyshire Constabulary,DW03,29,0,15,26,83,18,12,14,5,2,5
2011-12,Derbyshire Constabulary,DW02,24,1,21,19,75,28,5,15,2,2,3
2011-12,Derbyshire Constabulary,CB07,3,1,1,4,37,7,4,8,1,2,2
2011-12,Derbyshire Constabulary,CB05,2,0,7,13,32,15,2,8,2,3,7
2011-12,Derbyshire Constabulary,CB04,12,0,4,7,35,14,1,8,1,1,0
2011-12,Derbyshire Constabulary,CB03,4,0,4,10,14,10,3,2,0,1,0
2011-12,Derbyshire Constabulary,CT04,2,1,4,7,25,5,0,5,2,0,1
2011-12,Derbyshire Constabulary,CB01,0,0,2,0,5,3,0,2,0,0,0
2011-12,Derbyshire Constabulary,CV10,17,0,8,8,33,7,7,4,3,2,3
2011-12,Derbyshire Constabulary,CV11,8,0,5,9,26,16,1,5,1,1,0
2011-12,Derbyshire Constabulary,CV12,3,0,1,2,14,1,0,6,0,0,0
2011-12,Derbyshire Constabulary,CV13,8,0,6,16,53,13,6,15,2,0,3
2011-12,Derbyshire Constabulary,CX08,11,0,2,9,27,5,0,4,4,0,2
2011-12,Derbyshire Constabulary,CX05,6,0,2,3,22,5,0,2,0,2,1
2011-12,Derbyshire Constabulary,CX04,0,0,2,1,7,0,0,0,0,0,0
2011-12,Derbyshire Constabulary,CX07,3,0,2,9,58,12,1,5,1,1,0
2011-12,Derbyshire Constabulary,CX06,5,0,1,2,35,9,3,4,1,1,1
2011-12,Derbyshire Constabulary,CX01,7,0,2,7,39,25,0,4,0,0,0
2011-12,Derbyshire Constabulary,CX03,15,1,2,7,33,9,2,6,2,2,1
2011-12,Derbyshire Constabulary,CX02,6,1,2,3,32,6,0,7,0,0,0
2011-12,Derbyshire Constabulary,DN04,23,0,11,30,90,27,8,17,3,4,4
2011-12,Derbyshire Constabulary,DN05,23,2,43,22,88,19,17,18,2,3,6
2011-12,Derbyshire Constabulary,DN02,11,1,15,36,95,36,10,26,5,5,5
2011-12,Derbyshire Constabulary,DN03,14,0,18,93,250,28,105,88,14,19,5
2011-12,Derbyshire Constabulary,DW01,6,0,6,4,24,3,2,9,0,0,5
2011-12,Derbyshire Constabulary,DN01,12,0,3,13,69,15,0,7,2,4,6
2011-12,Derbyshire Constabulary,CV03,2,0,2,2,5,0,0,2,1,0,0
2011-12,Derbyshire Constabulary,CV02,4,0,1,0,7,5,0,2,1,0,1
2011-12,Derbyshire Constabulary,CV01,2,0,2,0,3,0,0,1,0,0,1
2011-12,Derbyshire Constabulary,CV07,10,0,4,9,63,8,3,7,2,1,0
2011-12,Derbyshire Constabulary,CV06,11,1,7,18,47,19,7,7,2,2,2
2011-12,Derbyshire Constabulary,CV05,2,0,7,16,49,20,2,5,2,1,1
2011-12,Derbyshire Constabulary,CV04,3,0,2,13,43,11,10,7,3,1,1
2011-12,Derbyshire Constabulary,CV09,1,0,1,0,12,1,0,0,0,0,0
2011-12,Derbyshire Constabulary,CV08,6,0,5,14,54,12,13,10,8,1,1
2011-12,Derbyshire Constabulary,BS12,4,0,1,3,5,4,0,4,0,0,1
2011-12,Derbyshire Constabulary,BS10,0,0,2,5,5,0,0,1,2,0,0
2011-12,Derbyshire Constabulary,BS11,2,0,8,10,23,6,2,10,1,3,0
2011-12,Derbyshire Constabulary,DS03,20,0,7,3,28,6,1,19,2,1,1
2011-12,Derbyshire Constabulary,DS02,12,0,6,6,15,11,0,7,2,1,0
2011-12,Derbyshire Constabulary,DS01,5,1,3,7,20,7,1,10,1,0,2
2011-12,Derbyshire Constabulary,DS06,7,0,2,4,20,4,0,3,2,0,1
2011-12,Derbyshire Constabulary,DS05,4,0,1,12,39,14,0,8,0,5,1
2011-12,Derbyshire Constabulary,DS04,9,1,7,25,70,11,5,16,3,3,3
2011-12,Derbyshire Constabulary,BH02,5,0,4,13,50,8,5,7,3,0,2
2011-12,Derbyshire Constabulary,BH03,1,0,0,5,13,6,0,2,1,1,0
2011-12,Derbyshire Constabulary,BH01,4,0,3,6,37,6,0,6,2,1,1
2011-12,Derbyshire Constabulary,BH04,7,0,6,12,22,8,2,4,4,0,0
2011-12,Derbyshire Constabulary,CT10,4,0,5,12,45,12,3,3,3,1,3
2011-12,Derbyshire Constabulary,CT11,1,0,1,27,100,9,37,20,2,7,5
2011-12,Derbyshire Constabulary,BS09,2,0,3,1,1,0,0,2,0,0,0
2011-12,Derbyshire Constabulary,BS08,2,0,3,3,5,0,1,1,2,1,0
2011-12,Derbyshire Constabulary,BS01,2,0,4,2,10,1,4,3,1,0,0
2011-12,Derbyshire Constabulary,BS03,3,0,2,4,11,2,1,2,0,0,2
2011-12,Derbyshire Constabulary,BS02,1,0,1,1,8,0,0,1,0,0,0
2011-12,Derbyshire Constabulary,BS05,2,0,1,2,12,4,0,4,1,0,0
2011-12,Derbyshire Constabulary,BS04,2,0,2,2,5,3,0,1,0,0,0
2011-12,Derbyshire Constabulary,BS07,1,0,2,3,7,2,0,4,1,0,2
2011-12,Derbyshire Constabulary,BS06,4,0,4,14,37,10,2,6,0,1,1
2011-12,Derbyshire Constabulary,DE04,10,0,12,12,59,8,5,8,0,0,4
2011-12,Derbyshire Constabulary,DE01,23,5,22,20,90,16,8,28,3,3,6
2011-12,Derbyshire Constabulary,DE03,13,2,9,15,54,16,7,11,4,1,3
2011-12,Derbyshire Constabulary,DE02,10,0,14,26,98,21,13,13,4,5,3
2011-12,Derbyshire Constabulary,CT01,3,0,4,8,37,11,1,6,0,1,3
2011-12,Derbyshire Constabulary,CB06,2,0,1,1,17,5,0,3,0,0,0
2011-12,Derbyshire Constabulary,CT03,8,0,8,7,32,6,2,8,0,1,2
2011-12,Derbyshire Constabulary,CT02,8,0,5,3,19,8,0,6,0,1,1
2011-12,Derbyshire Constabulary,CT05,3,1,3,5,35,6,2,2,2,1,3
2011-12,Derbyshire Constabulary,CB02,0,0,0,7,11,2,0,1,1,0,0
2011-12,Derbyshire Constabulary,CT07,3,0,8,9,37,11,4,16,1,1,2
2011-12,Derbyshire Constabulary,CT06,11,0,5,21,75,14,13,18,10,1,8
2011-12,Derbyshire Constabulary,CT09,6,0,2,9,52,11,8,3,3,1,1
2011-12,Derbyshire Constabulary,CT08,4,0,2,6,11,2,1,5,1,0,0
2011-12,Derbyshire Constabulary,CB09,2,0,3,7,21,12,2,5,4,1,1
2011-12,Derbyshire Constabulary,CB08,5,0,2,2,9,1,0,0,1,1,0
