Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Devon and Cornwall Constabulary,431.08,1,0,0,3,8,7,0,2,0,0,0
2011-12,Devon and Cornwall Constabulary,132.01,6,0,0,12,9,8,2,5,0,0,1
2011-12,Devon and Cornwall Constabulary,431.04,4,1,3,27,37,8,23,17,4,13,3
2011-12,Devon and Cornwall Constabulary,431.05,0,0,1,4,5,0,0,0,2,0,0
2011-12,Devon and Cornwall Constabulary,431.06,2,0,1,9,7,5,4,2,0,1,1
2011-12,Devon and Cornwall Constabulary,431.07,2,0,4,9,9,7,0,1,1,2,0
2011-12,Devon and Cornwall Constabulary,423.10,2,0,0,11,17,5,1,6,3,1,0
2011-12,Devon and Cornwall Constabulary,423.11,0,0,0,1,3,1,0,2,0,0,0
2011-12,Devon and Cornwall Constabulary,341.04,1,0,0,4,3,1,0,0,1,1,0
2011-12,Devon and Cornwall Constabulary,431.03,2,0,2,1,8,2,1,2,1,3,1
2011-12,Devon and Cornwall Constabulary,422.08,2,0,6,9,7,5,2,6,0,2,0
2011-12,Devon and Cornwall Constabulary,134.04,5,0,0,5,5,2,2,0,1,1,1
2011-12,Devon and Cornwall Constabulary,111.04,4,1,2,11,28,6,12,10,4,5,2
2011-12,Devon and Cornwall Constabulary,134.06,1,0,0,14,11,5,3,1,1,2,0
2011-12,Devon and Cornwall Constabulary,134.07,5,0,5,19,30,6,6,12,1,4,15
2011-12,Devon and Cornwall Constabulary,111.01,0,0,2,8,6,4,0,2,2,0,1
2011-12,Devon and Cornwall Constabulary,134.02,0,0,1,2,4,3,0,2,4,0,1
2011-12,Devon and Cornwall Constabulary,111.02,3,0,0,2,5,2,1,1,0,0,1
2011-12,Devon and Cornwall Constabulary,134.09,1,0,0,4,12,5,0,2,0,1,1
2011-12,Devon and Cornwall Constabulary,341.02,1,0,3,1,6,2,0,2,0,0,0
2011-12,Devon and Cornwall Constabulary,341.03,2,0,1,8,13,10,3,1,0,0,0
2011-12,Devon and Cornwall Constabulary,216.01,12,2,4,65,70,28,7,23,21,21,3
2011-12,Devon and Cornwall Constabulary,216.02,9,9,5,80,87,18,72,74,25,26,6
2011-12,Devon and Cornwall Constabulary,423.09,5,0,3,2,8,4,0,8,0,0,0
2011-12,Devon and Cornwall Constabulary,423.08,2,0,1,0,7,4,0,0,0,1,3
2011-12,Devon and Cornwall Constabulary,343.01,9,0,4,22,57,17,9,15,15,13,0
2011-12,Devon and Cornwall Constabulary,343.02,0,0,2,6,18,2,4,6,1,2,2
2011-12,Devon and Cornwall Constabulary,343.03,1,0,0,7,4,1,2,3,2,2,1
2011-12,Devon and Cornwall Constabulary,423.03,2,0,1,2,0,2,2,3,0,1,0
2011-12,Devon and Cornwall Constabulary,423.02,2,0,0,1,10,8,0,1,0,0,1
2011-12,Devon and Cornwall Constabulary,423.01,7,0,3,3,9,4,0,4,0,1,1
2011-12,Devon and Cornwall Constabulary,423.06,8,0,2,7,12,5,2,2,0,1,3
2011-12,Devon and Cornwall Constabulary,423.05,15,0,1,5,6,2,0,0,0,0,0
2011-12,Devon and Cornwall Constabulary,423.04,2,0,1,4,16,5,1,5,1,3,2
2011-12,Devon and Cornwall Constabulary,433.02,3,0,2,8,5,4,0,8,0,3,1
2011-12,Devon and Cornwall Constabulary,433.03,6,0,8,5,19,8,3,9,2,0,1
2011-12,Devon and Cornwall Constabulary,433.01,3,0,1,11,31,7,1,9,4,2,1
2011-12,Devon and Cornwall Constabulary,431.02,3,0,1,2,10,2,0,1,2,0,1
2011-12,Devon and Cornwall Constabulary,433.04,2,0,0,3,8,3,0,0,1,1,1
2011-12,Devon and Cornwall Constabulary,433.05,7,0,1,22,38,12,10,3,3,9,4
2011-12,Devon and Cornwall Constabulary,134.10,1,0,0,0,2,0,0,1,0,0,0
2011-12,Devon and Cornwall Constabulary,113.07,7,0,1,6,18,4,1,5,0,1,1
2011-12,Devon and Cornwall Constabulary,113.06,9,0,3,20,31,10,8,4,1,6,0
2011-12,Devon and Cornwall Constabulary,113.05,8,0,0,5,10,2,0,2,3,1,1
2011-12,Devon and Cornwall Constabulary,113.04,2,0,1,7,11,8,0,3,0,0,0
2011-12,Devon and Cornwall Constabulary,113.03,5,0,3,11,23,23,3,8,0,0,0
2011-12,Devon and Cornwall Constabulary,113.02,4,0,2,16,27,18,1,9,2,4,2
2011-12,Devon and Cornwall Constabulary,113.01,3,0,4,10,12,6,5,7,2,0,0
