Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Lancashire Constabulary,E37,3,0,0,5,14,3,0,2,1,0,0
2011-12,Lancashire Constabulary,E36,0,1,1,1,31,1,3,4,0,0,0
2011-12,Lancashire Constabulary,E35,1,0,1,6,47,8,1,4,1,1,1
2011-12,Lancashire Constabulary,F23,7,0,10,3,25,9,2,2,1,1,0
2011-12,Lancashire Constabulary,F22,3,1,0,5,11,5,1,1,0,2,0
2011-12,Lancashire Constabulary,F21,5,0,13,14,45,10,10,4,2,6,1
2011-12,Lancashire Constabulary,E34,6,0,4,2,13,0,0,1,1,0,1
2011-12,Lancashire Constabulary,C39,3,0,5,4,27,6,1,5,2,0,0
2011-12,Lancashire Constabulary,C38,4,2,4,6,16,11,0,6,5,0,5
2011-12,Lancashire Constabulary,F25,1,0,1,5,25,8,3,2,0,0,1
2011-12,Lancashire Constabulary,F24,5,0,19,5,20,2,0,2,1,0,0
2011-12,Lancashire Constabulary,C35,1,0,0,1,2,0,0,4,0,0,0
2011-12,Lancashire Constabulary,C34,3,0,4,5,10,1,0,3,2,0,1
2011-12,Lancashire Constabulary,C37,15,0,7,4,25,2,0,3,1,0,0
2011-12,Lancashire Constabulary,C36,0,0,0,2,18,3,0,4,0,0,2
2011-12,Lancashire Constabulary,C31,3,0,3,2,8,2,0,6,0,0,0
2011-12,Lancashire Constabulary,C30,2,0,0,11,78,9,5,9,8,3,1
2011-12,Lancashire Constabulary,C33,0,0,0,0,4,1,0,0,0,0,0
2011-12,Lancashire Constabulary,C32,0,0,0,1,2,2,0,2,0,0,1
2011-12,Lancashire Constabulary,E31,7,0,3,8,25,8,2,0,6,0,2
2011-12,Lancashire Constabulary,E30,7,0,5,5,55,7,3,6,1,0,1
2011-12,Lancashire Constabulary,F1,10,0,8,17,45,7,2,3,4,0,3
2011-12,Lancashire Constabulary,F20,8,0,4,11,36,7,0,11,1,1,1
2011-12,Lancashire Constabulary,C22,4,0,1,3,8,4,1,4,2,0,0
2011-12,Lancashire Constabulary,C23,6,0,2,5,28,8,1,5,2,2,0
2011-12,Lancashire Constabulary,C20,0,0,0,7,22,15,2,3,0,0,1
2011-12,Lancashire Constabulary,C21,2,0,3,4,14,2,1,6,1,0,0
2011-12,Lancashire Constabulary,C26,0,0,4,4,13,7,0,3,0,1,1
2011-12,Lancashire Constabulary,C27,4,0,0,6,17,5,0,5,1,1,0
2011-12,Lancashire Constabulary,C24,5,0,3,2,13,3,2,3,0,0,4
2011-12,Lancashire Constabulary,C25,9,0,0,21,52,12,2,8,3,0,5
2011-12,Lancashire Constabulary,C28,0,0,0,1,4,1,0,2,0,0,0
2011-12,Lancashire Constabulary,C29,2,0,0,8,9,2,0,3,1,0,1
2011-12,Lancashire Constabulary,F2,7,0,6,2,22,6,0,5,1,0,2
2011-12,Lancashire Constabulary,F30,4,0,2,10,21,6,11,6,1,0,3
2011-12,Lancashire Constabulary,F31,13,0,2,7,57,8,1,8,4,0,1
2011-12,Lancashire Constabulary,F32,3,0,3,7,23,2,11,5,4,2,0
2011-12,Lancashire Constabulary,F3,1,0,2,2,5,1,0,1,0,0,0
2011-12,Lancashire Constabulary,F34,3,0,7,10,36,3,6,2,0,1,2
2011-12,Lancashire Constabulary,F35,10,0,12,2,55,12,2,3,1,3,2
2011-12,Lancashire Constabulary,F36,3,0,8,7,22,10,0,2,0,1,0
2011-12,Lancashire Constabulary,F37,20,0,6,11,47,15,2,13,4,1,0
2011-12,Lancashire Constabulary,F38,0,0,6,5,26,6,2,3,1,0,1
2011-12,Lancashire Constabulary,F39,5,0,6,5,39,6,13,14,5,1,1
2011-12,Lancashire Constabulary,F5,7,0,6,3,13,1,0,4,0,0,0
2011-12,Lancashire Constabulary,F6,4,0,5,10,39,7,1,4,1,2,0
2011-12,Lancashire Constabulary,B29,6,0,8,16,40,11,5,6,3,2,1
2011-12,Lancashire Constabulary,B28,1,0,0,0,0,0,0,0,0,0,0
2011-12,Lancashire Constabulary,B27,2,0,1,0,0,0,0,1,0,0,0
2011-12,Lancashire Constabulary,B26,4,0,2,1,2,0,0,2,0,0,0
2011-12,Lancashire Constabulary,B25,2,0,2,4,8,1,0,1,0,0,1
2011-12,Lancashire Constabulary,B24,1,0,0,1,4,0,0,0,0,0,0
2011-12,Lancashire Constabulary,B23,1,0,0,0,1,0,0,2,0,0,0
2011-12,Lancashire Constabulary,B22,4,0,1,1,6,0,0,0,0,0,0
2011-12,Lancashire Constabulary,B21,3,0,2,4,30,6,0,1,1,0,1
2011-12,Lancashire Constabulary,B20,4,0,3,4,18,7,2,4,2,1,1
2011-12,Lancashire Constabulary,B4,6,0,2,7,27,9,0,4,2,0,0
2011-12,Lancashire Constabulary,B5,0,0,0,4,11,0,0,2,0,1,0
2011-12,Lancashire Constabulary,B6,1,0,4,2,5,2,0,3,0,0,1
2011-12,Lancashire Constabulary,B7,4,0,1,0,10,7,0,0,1,1,0
