Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Merseyside Police,C4,13,1,8,10,59,22,14,11,15,7,5
2011-12,Merseyside Police,A1,21,1,18,55,160,38,24,25,21,18,3
2011-12,Merseyside Police,C5,17,3,23,26,114,40,12,29,21,7,11
2011-12,Merseyside Police,A3,15,0,8,6,48,7,3,11,3,2,1
2011-12,Merseyside Police,A2,11,0,9,14,81,20,5,16,17,7,6
2011-12,Merseyside Police,A5,30,5,19,39,157,50,20,27,21,12,6
2011-12,Merseyside Police,A4,8,0,6,16,98,17,10,7,5,7,2
2011-12,Merseyside Police,A7,23,0,12,20,95,28,22,32,6,4,4
2011-12,Merseyside Police,A6,33,3,16,39,244,62,30,42,34,24,10
2011-12,Merseyside Police,E5,59,12,21,17,123,44,17,21,37,14,6
2011-12,Merseyside Police,A8,7,2,5,10,26,12,1,13,2,0,3
2011-12,Merseyside Police,E7,36,5,18,34,101,54,9,19,38,9,8
2011-12,Merseyside Police,E6,19,3,21,20,138,39,9,16,24,4,10
2011-12,Merseyside Police,E1,56,15,54,124,198,46,146,293,107,54,16
2011-12,Merseyside Police,E3,18,4,45,16,68,33,3,18,28,7,6
2011-12,Merseyside Police,E2,54,16,25,45,198,77,36,22,87,22,11
2011-12,Merseyside Police,E4,63,16,55,46,209,65,15,42,38,9,13
2011-12,Merseyside Police,C3,29,3,12,7,108,35,2,10,26,14,3
2011-12,Merseyside Police,C2,30,1,11,10,93,29,12,15,8,4,11
2011-12,Merseyside Police,C1,18,1,17,6,65,17,0,5,12,6,2
2011-12,Merseyside Police,F1,37,4,17,16,72,31,12,24,33,9,9
2011-12,Merseyside Police,F2,42,5,14,34,116,29,16,34,55,22,3
2011-12,Merseyside Police,F3,34,2,20,12,39,19,4,14,16,3,6
2011-12,Merseyside Police,F4,30,3,10,16,38,26,17,17,22,5,12
2011-12,Merseyside Police,F5,25,6,12,18,70,44,27,31,27,10,6
2011-12,Merseyside Police,F6,0,0,3,0,4,0,0,3,1,0,1
2011-12,Merseyside Police,B4,48,3,12,13,81,18,25,13,4,2,2
2011-12,Merseyside Police,B5,22,2,18,13,57,18,3,19,11,3,6
2011-12,Merseyside Police,B6,27,2,14,21,52,15,13,19,12,4,6
2011-12,Merseyside Police,B7,23,1,3,24,58,6,26,27,8,3,4
2011-12,Merseyside Police,B1,46,8,11,32,85,54,31,28,39,15,14
2011-12,Merseyside Police,B2,54,3,16,16,72,37,7,21,19,10,6
2011-12,Merseyside Police,B3,53,4,34,39,170,79,3,32,36,17,5
2011-12,Merseyside Police,D4,38,1,14,14,60,28,3,9,24,0,8
2011-12,Merseyside Police,D5,61,1,18,22,88,27,15,24,18,4,4
2011-12,Merseyside Police,D2,26,1,14,24,131,52,7,18,13,6,5
2011-12,Merseyside Police,D3,31,2,12,4,77,30,11,19,18,1,1
2011-12,Merseyside Police,D1,17,0,9,27,100,27,45,36,39,9,5
