Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Norfolk Constabulary,D14,0,0,0,6,15,8,2,6,0,0,1
2011-12,Norfolk Constabulary,D15,13,0,2,8,16,9,1,23,0,1,0
2011-12,Norfolk Constabulary,G24,6,0,2,14,47,14,4,6,5,1,8
2011-12,Norfolk Constabulary,G25,4,1,3,15,31,18,6,10,4,1,0
2011-12,Norfolk Constabulary,G22,5,1,4,12,28,11,8,5,1,1,1
2011-12,Norfolk Constabulary,D11,7,0,6,7,30,15,3,10,2,3,0
2011-12,Norfolk Constabulary,D12,4,0,7,9,32,11,5,5,1,2,1
2011-12,Norfolk Constabulary,D13,3,0,2,10,27,4,1,16,2,0,2
2011-12,Norfolk Constabulary,E11,4,0,0,2,14,3,0,6,0,0,1
2011-12,Norfolk Constabulary,E13,3,0,2,6,28,4,0,4,0,3,1
2011-12,Norfolk Constabulary,E12,3,0,2,15,22,9,2,9,0,2,0
2011-12,Norfolk Constabulary,E14,6,0,1,15,17,13,6,10,1,3,2
2011-12,Norfolk Constabulary,F21,21,0,20,47,135,60,9,19,13,8,11
2011-12,Norfolk Constabulary,B12,9,0,0,13,25,14,4,7,2,1,1
2011-12,Norfolk Constabulary,B13,3,1,0,11,41,15,5,16,0,4,1
2011-12,Norfolk Constabulary,B11,8,0,1,27,77,23,9,11,7,4,1
2011-12,Norfolk Constabulary,C13,4,0,4,6,28,8,1,7,0,0,1
2011-12,Norfolk Constabulary,C12,4,0,2,5,9,6,3,6,0,0,1
2011-12,Norfolk Constabulary,C11,3,0,3,7,6,1,0,7,1,0,0
2011-12,Norfolk Constabulary,G23,3,0,2,4,9,4,0,1,0,0,0
2011-12,Norfolk Constabulary,A33,11,0,4,16,33,7,3,20,1,1,4
2011-12,Norfolk Constabulary,A32,5,0,5,5,11,6,0,6,1,0,1
2011-12,Norfolk Constabulary,A31,5,0,5,10,23,7,1,12,1,1,1
2011-12,Norfolk Constabulary,G14,16,1,3,63,113,32,21,29,7,15,8
2011-12,Norfolk Constabulary,A11,11,0,4,7,35,15,1,5,1,1,4
2011-12,Norfolk Constabulary,E22,5,0,3,9,12,4,3,4,1,2,2
2011-12,Norfolk Constabulary,A13,0,0,0,2,4,0,0,2,0,0,2
2011-12,Norfolk Constabulary,A12,2,0,5,1,30,19,1,5,0,0,0
2011-12,Norfolk Constabulary,G21,4,0,0,2,7,2,0,3,0,0,0
2011-12,Norfolk Constabulary,C22,2,0,1,16,11,7,0,9,0,2,0
2011-12,Norfolk Constabulary,C23,6,0,3,17,28,12,2,7,3,2,3
2011-12,Norfolk Constabulary,C21,4,0,0,6,12,5,0,9,0,2,3
2011-12,Norfolk Constabulary,E21,4,1,2,10,36,8,3,6,1,2,1
2011-12,Norfolk Constabulary,C24,6,0,1,8,21,3,1,12,0,1,1
2011-12,Norfolk Constabulary,E23,6,0,7,7,13,6,0,5,4,0,1
2011-12,Norfolk Constabulary,D21,13,0,2,3,12,4,0,4,0,1,0
2011-12,Norfolk Constabulary,D23,6,0,4,2,5,1,0,2,0,0,0
2011-12,Norfolk Constabulary,D22,8,0,5,9,30,18,1,9,3,2,1
2011-12,Norfolk Constabulary,F31,16,3,11,101,210,57,131,133,30,18,25
2011-12,Norfolk Constabulary,F11,53,0,25,35,83,30,13,31,11,3,7
2011-12,Norfolk Constabulary,G13,7,0,6,24,34,19,3,9,4,0,0
2011-12,Norfolk Constabulary,G12,4,0,0,8,17,6,0,4,1,1,0
2011-12,Norfolk Constabulary,G11,0,0,1,4,4,2,0,0,0,0,0
2011-12,Norfolk Constabulary,A21,7,2,6,35,126,30,24,22,8,7,9
2011-12,Norfolk Constabulary,A22,6,0,8,21,55,10,3,11,3,3,3
2011-12,Norfolk Constabulary,A23,5,0,3,5,11,7,5,9,0,0,4
2011-12,Norfolk Constabulary,F41,18,2,23,37,97,23,7,26,8,6,2
2011-12,Norfolk Constabulary,B22,3,0,3,9,51,12,0,5,1,3,4
2011-12,Norfolk Constabulary,B21,11,0,8,32,86,23,10,19,8,4,7
