Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,North Wales Police,GSW08,0,0,0,0,1,0,0,0,0,0,0
2011-12,North Wales Police,GSW09,2,0,0,0,0,0,0,0,0,0,0
2011-12,North Wales Police,FSW14,1,0,0,0,0,0,0,0,0,0,1
2011-12,North Wales Police,YMW19,2,0,1,0,2,1,2,1,1,0,0
2011-12,North Wales Police,YMW18,0,0,0,0,1,0,1,0,0,0,0
2011-12,North Wales Police,YMW17,0,0,0,0,0,0,0,0,0,0,0
2011-12,North Wales Police,GSW01,0,0,0,1,1,0,1,1,0,0,0
2011-12,North Wales Police,GSW02,0,0,0,0,1,0,0,0,0,0,0
2011-12,North Wales Police,FSW15,1,0,2,2,4,4,2,2,1,0,0
2011-12,North Wales Police,GSW04,0,0,0,2,2,0,0,0,1,1,0
2011-12,North Wales Police,GSW05,4,1,0,0,0,0,0,1,0,0,0
2011-12,North Wales Police,GSW06,0,0,0,1,4,0,0,0,1,0,0
2011-12,North Wales Police,GSW07,2,0,0,0,1,0,0,1,0,0,0
2011-12,North Wales Police,CRW18,0,0,0,1,0,0,0,1,0,0,0
2011-12,North Wales Police,CRW19,2,0,0,1,2,1,0,3,0,1,0
2011-12,North Wales Police,CRW14,5,0,0,9,20,5,0,4,0,1,2
2011-12,North Wales Police,CRW15,2,0,0,0,1,0,0,1,0,1,0
2011-12,North Wales Police,CRW16,1,0,1,1,7,3,0,3,0,0,0
2011-12,North Wales Police,CRW17,0,0,0,0,0,1,0,0,0,0,0
2011-12,North Wales Police,CRW10,0,0,0,2,5,0,0,2,0,0,0
2011-12,North Wales Police,CRW11,0,0,0,6,19,4,2,1,1,0,1
2011-12,North Wales Police,CRW12,1,0,0,0,1,0,0,1,0,0,1
2011-12,North Wales Police,CRW13,2,0,2,0,2,0,0,1,2,1,0
2011-12,North Wales Police,YMW31,1,0,0,0,1,0,0,0,0,0,0
2011-12,North Wales Police,YMW16,2,0,0,0,0,1,0,1,0,0,1
2011-12,North Wales Police,YMW14,1,0,1,0,4,2,0,0,0,0,0
2011-12,North Wales Police,YMW15,1,0,1,2,3,3,2,0,1,0,2
2011-12,North Wales Police,YMW08,1,0,0,1,0,4,0,0,2,0,0
2011-12,North Wales Police,WXW05,1,0,1,3,7,4,0,0,0,0,2
2011-12,North Wales Police,GSW03,0,0,0,1,0,0,0,0,0,0,1
2011-12,North Wales Police,WCW06,1,0,2,7,28,4,6,0,2,0,3
2011-12,North Wales Police,YMW01,0,0,0,0,1,2,0,0,0,0,0
2011-12,North Wales Police,YMW02,2,0,0,5,9,8,0,1,0,2,0
2011-12,North Wales Police,YMW03,1,0,2,5,25,6,5,1,1,0,0
2011-12,North Wales Police,YMW04,1,0,0,2,12,2,0,1,0,0,0
2011-12,North Wales Police,YMW05,0,0,1,1,20,2,0,1,4,1,1
2011-12,North Wales Police,YMW06,1,0,0,1,6,9,3,1,0,0,2
2011-12,North Wales Police,YMW07,2,0,0,6,10,1,5,2,1,1,1
2011-12,North Wales Police,GNW25,0,0,0,1,2,0,0,0,0,0,0
2011-12,North Wales Police,GNW24,0,0,0,1,1,1,0,0,0,0,0
2011-12,North Wales Police,GNW27,1,0,0,3,3,2,0,0,0,0,0
2011-12,North Wales Police,GNW26,0,0,0,5,6,1,0,0,0,0,0
2011-12,North Wales Police,GNW21,2,0,1,4,10,2,0,3,0,2,0
2011-12,North Wales Police,GNW20,5,0,3,2,21,4,4,1,1,1,1
2011-12,North Wales Police,GNW23,0,0,0,2,3,0,0,0,0,0,0
2011-12,North Wales Police,GNW22,5,0,2,6,34,4,2,1,0,10,1
