Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Northumbria Police,A1,35,3,21,58,275,40,92,42,34,32,13
2011-12,Northumbria Police,A3,16,0,29,30,247,77,18,23,10,11,23
2011-12,Northumbria Police,A2,17,0,11,13,91,17,5,14,9,3,3
2011-12,Northumbria Police,A5,15,3,15,27,214,47,9,30,18,13,14
2011-12,Northumbria Police,E8,26,3,5,25,256,52,26,27,14,11,10
2011-12,Northumbria Police,A7,32,1,13,26,203,65,12,29,10,4,7
2011-12,Northumbria Police,A6,9,2,11,28,183,47,45,37,14,12,7
2011-12,Northumbria Police,C3,28,0,29,20,145,24,7,13,5,6,5
2011-12,Northumbria Police,C2,18,2,25,15,158,31,7,6,4,7,6
2011-12,Northumbria Police,C1,19,5,20,19,206,33,15,25,15,12,10
2011-12,Northumbria Police,E6,22,9,8,121,533,46,165,174,55,23,16
2011-12,Northumbria Police,E1,28,4,20,31,170,48,9,18,15,8,8
2011-12,Northumbria Police,C6,20,3,7,8,84,23,10,11,7,7,6
2011-12,Northumbria Police,E3,6,2,6,16,120,18,6,11,8,7,3
2011-12,Northumbria Police,E2,15,1,7,11,105,22,36,16,6,1,6
2011-12,Northumbria Police,E5,19,1,15,33,182,32,10,25,30,9,6
2011-12,Northumbria Police,E4,15,0,15,14,105,23,11,14,9,4,10
2011-12,Northumbria Police,E7,48,5,18,12,135,28,15,43,5,2,5
2011-12,Northumbria Police,F1,11,1,7,15,138,32,2,23,7,4,1
2011-12,Northumbria Police,F2,34,1,14,28,234,45,22,20,22,5,6
2011-12,Northumbria Police,F3,13,0,20,20,226,31,21,19,6,5,3
2011-12,Northumbria Police,F4,6,0,9,16,121,27,15,9,5,3,3
2011-12,Northumbria Police,F5,7,1,11,15,62,11,3,10,2,2,2
2011-12,Northumbria Police,F6,9,0,8,13,82,16,4,8,1,1,1
2011-12,Northumbria Police,F7,6,0,0,9,59,12,2,4,2,4,2
2011-12,Northumbria Police,F8,24,0,2,8,69,7,3,7,2,0,2
2011-12,Northumbria Police,F9,5,0,10,11,51,14,4,9,2,5,2
2011-12,Northumbria Police,C5,12,0,15,17,97,21,45,13,7,5,10
2011-12,Northumbria Police,B1,24,2,18,36,292,75,20,28,57,11,12
2011-12,Northumbria Police,B2,13,1,13,12,135,32,9,14,11,6,6
2011-12,Northumbria Police,B3,12,0,12,24,185,40,17,20,13,8,10
2011-12,Northumbria Police,D4,11,2,13,19,179,21,15,14,8,3,12
2011-12,Northumbria Police,D2,13,2,5,20,206,20,14,18,12,2,9
2011-12,Northumbria Police,D3,20,2,4,28,212,31,6,19,13,8,7
2011-12,Northumbria Police,D1,24,1,20,29,221,31,23,26,18,8,18
