Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Nottinghamshire Police,31-197,1,0,1,3,8,4,1,1,0,0,0
2011-12,Nottinghamshire Police,31-196,3,0,0,1,4,2,0,2,0,0,0
2011-12,Nottinghamshire Police,31-191,1,0,3,3,10,3,1,3,4,0,0
2011-12,Nottinghamshire Police,31-220,7,0,2,5,12,3,3,3,3,0,2
2011-12,Nottinghamshire Police,31-80,0,0,0,0,0,0,0,0,0,0,0
2011-12,Nottinghamshire Police,31-82,8,0,5,9,24,13,2,3,0,2,0
2011-12,Nottinghamshire Police,31-83,2,1,2,6,34,9,5,7,4,0,0
2011-12,Nottinghamshire Police,31-84,7,1,6,7,17,5,4,0,2,1,0
2011-12,Nottinghamshire Police,31-85,8,0,5,11,20,15,1,5,2,1,0
2011-12,Nottinghamshire Police,31-86,0,0,1,3,7,3,1,0,0,0,0
2011-12,Nottinghamshire Police,31-87,3,0,1,2,9,1,1,5,0,0,0
2011-12,Nottinghamshire Police,31-88,5,0,0,3,18,3,0,5,0,1,0
2011-12,Nottinghamshire Police,31-89,0,0,2,5,19,3,0,3,1,0,2
2011-12,Nottinghamshire Police,31-108,3,1,4,13,32,6,0,5,2,3,0
2011-12,Nottinghamshire Police,31-109,3,1,3,10,23,5,0,1,4,1,0
2011-12,Nottinghamshire Police,31-100,2,0,0,6,20,4,0,2,0,1,0
2011-12,Nottinghamshire Police,31-101,7,0,0,5,14,5,0,3,1,0,0
2011-12,Nottinghamshire Police,31-102,0,4,2,34,55,7,30,10,3,8,0
2011-12,Nottinghamshire Police,31-103,1,0,3,6,4,7,0,6,0,1,0
2011-12,Nottinghamshire Police,31-104,10,1,5,17,31,10,3,5,10,2,2
2011-12,Nottinghamshire Police,31-105,1,0,0,7,15,8,5,1,0,0,1
2011-12,Nottinghamshire Police,31-106,3,0,2,6,10,5,3,2,0,0,0
2011-12,Nottinghamshire Police,31-107,5,0,0,8,22,5,1,2,1,0,2
2011-12,Nottinghamshire Police,31-78,2,2,9,17,29,8,12,16,5,2,1
2011-12,Nottinghamshire Police,31-117,8,0,3,16,26,22,0,6,9,1,1
2011-12,Nottinghamshire Police,31-116,3,1,2,8,15,10,0,1,1,0,1
2011-12,Nottinghamshire Police,31-115,11,1,0,9,8,5,1,1,1,0,0
2011-12,Nottinghamshire Police,31-114,17,3,11,5,25,6,1,12,0,4,9
2011-12,Nottinghamshire Police,31-113,0,5,2,8,12,3,0,2,1,3,1
2011-12,Nottinghamshire Police,31-112,9,2,3,1,12,3,7,5,0,0,0
2011-12,Nottinghamshire Police,31-111,4,1,1,5,25,2,5,0,1,0,0
2011-12,Nottinghamshire Police,31-110,4,1,2,11,20,4,0,1,3,0,0
2011-12,Nottinghamshire Police,31-75,1,0,0,9,16,1,2,3,0,0,0
2011-12,Nottinghamshire Police,31-119,1,0,1,2,6,5,6,2,2,0,1
2011-12,Nottinghamshire Police,31-118,2,0,0,3,11,0,0,0,1,1,0
2011-12,Nottinghamshire Police,31-214,3,0,0,2,4,2,0,0,0,0,0
2011-12,Nottinghamshire Police,31-216,2,1,0,4,5,1,1,6,0,1,2
2011-12,Nottinghamshire Police,31-217,4,0,2,3,6,2,0,4,0,0,0
2011-12,Nottinghamshire Police,31-210,5,0,7,1,14,4,4,4,0,0,0
2011-12,Nottinghamshire Police,31-213,0,0,3,4,8,9,0,1,2,1,0
2011-12,Nottinghamshire Police,31-218,3,1,1,6,8,2,6,5,0,0,2
