Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,South Wales Police,216,0,0,2,0,1,0,0,2,0,0,0
2011-12,South Wales Police,217,4,0,10,14,67,17,7,15,4,9,3
2011-12,South Wales Police,214,1,0,0,0,10,4,1,0,0,1,0
2011-12,South Wales Police,215,4,0,1,0,4,1,0,2,0,0,0
2011-12,South Wales Police,212,0,0,3,0,12,0,0,0,0,0,2
2011-12,South Wales Police,213,9,0,12,8,44,9,10,4,3,3,5
2011-12,South Wales Police,210,2,0,8,1,6,2,0,0,0,0,0
2011-12,South Wales Police,211,3,2,4,8,33,11,0,6,9,1,1
2011-12,South Wales Police,218,9,0,3,10,46,7,0,4,0,3,2
2011-12,South Wales Police,219,0,0,0,0,2,1,0,2,1,0,0
2011-12,South Wales Police,133,0,0,1,0,0,0,0,1,0,0,0
2011-12,South Wales Police,227,3,0,2,0,24,3,0,5,1,2,2
2011-12,South Wales Police,131,1,0,5,0,16,6,0,0,0,0,0
2011-12,South Wales Police,130,1,0,0,4,7,2,1,0,1,0,1
2011-12,South Wales Police,137,4,0,2,8,19,4,4,5,1,1,1
2011-12,South Wales Police,136,4,0,2,6,7,5,2,1,0,3,0
2011-12,South Wales Police,135,0,0,0,2,8,2,0,0,0,0,0
2011-12,South Wales Police,226,1,0,0,6,16,8,0,2,0,1,0
2011-12,South Wales Police,139,4,0,0,2,3,4,0,3,0,0,0
2011-12,South Wales Police,225,4,0,2,1,11,5,0,1,0,0,0
2011-12,South Wales Police,24,1,0,0,4,4,4,0,0,0,0,0
2011-12,South Wales Police,25,0,0,0,1,5,0,0,0,1,0,0
2011-12,South Wales Police,26,0,0,0,3,20,7,0,2,0,0,0
2011-12,South Wales Police,224,2,0,0,0,1,0,0,1,0,0,0
2011-12,South Wales Police,20,1,0,75,4,13,4,0,0,1,2,1
2011-12,South Wales Police,21,1,0,2,6,13,1,0,3,0,0,0
2011-12,South Wales Police,22,2,0,0,2,14,3,5,4,1,1,0
2011-12,South Wales Police,23,1,0,3,9,18,7,0,6,0,3,0
2011-12,South Wales Police,223,2,0,0,1,4,0,0,1,0,0,1
2011-12,South Wales Police,28,1,0,3,2,13,1,0,9,1,2,0
2011-12,South Wales Police,29,1,0,0,3,11,2,0,2,0,2,0
2011-12,South Wales Police,222,10,0,3,8,55,17,0,14,4,3,0
2011-12,South Wales Police,221,2,0,2,1,9,2,0,0,1,0,0
2011-12,South Wales Police,5,2,0,1,2,17,3,0,0,0,0,0
2011-12,South Wales Police,220,1,0,2,1,8,0,1,1,0,0,1
2011-12,South Wales Police,68,32,5,18,96,252,30,123,304,19,74,16
2011-12,South Wales Police,87,2,0,2,4,14,3,1,0,6,3,0
2011-12,South Wales Police,120,6,0,7,5,23,14,0,6,1,0,0
2011-12,South Wales Police,121,1,0,1,0,3,2,0,2,0,0,0
2011-12,South Wales Police,122,3,0,0,0,4,2,0,2,0,0,0
2011-12,South Wales Police,123,2,0,3,0,19,2,2,2,0,0,0
2011-12,South Wales Police,124,6,0,5,7,29,11,2,0,4,0,0
2011-12,South Wales Police,125,1,0,0,0,3,2,2,0,0,0,0
2011-12,South Wales Police,126,1,0,1,0,4,1,0,0,0,0,1
2011-12,South Wales Police,127,0,0,2,1,0,0,0,2,1,0,0
2011-12,South Wales Police,128,4,0,5,3,35,13,1,4,3,1,2
2011-12,South Wales Police,129,2,0,0,3,4,0,0,3,0,0,0
2011-12,South Wales Police,69,2,0,2,0,6,0,0,1,1,0,1
2011-12,South Wales Police,91,9,2,10,11,87,28,1,9,14,4,4
2011-12,South Wales Police,60,1,0,2,4,14,3,0,1,1,0,0
2011-12,South Wales Police,59,3,0,2,13,22,9,0,3,0,3,1
2011-12,South Wales Police,58,2,0,2,4,22,9,7,3,3,1,0
2011-12,South Wales Police,132,1,1,1,1,2,0,0,0,0,0,1
2011-12,South Wales Police,55,0,0,0,7,8,2,0,0,0,1,1
2011-12,South Wales Police,54,0,0,25,0,11,3,9,7,0,0,0
2011-12,South Wales Police,57,2,0,2,2,19,7,3,1,4,0,1
2011-12,South Wales Police,56,2,0,4,4,20,0,0,4,0,2,1
2011-12,South Wales Police,51,4,0,1,2,11,1,4,1,2,2,0
2011-12,South Wales Police,50,2,0,0,3,9,1,1,2,1,0,2
2011-12,South Wales Police,53,4,0,2,3,14,3,0,5,1,2,0
2011-12,South Wales Police,52,2,0,5,6,21,5,2,2,0,1,1
2011-12,South Wales Police,64,12,2,17,12,62,17,7,19,3,7,2
2011-12,South Wales Police,90,18,4,19,13,98,28,15,16,8,3,4
2011-12,South Wales Police,8,7,0,1,3,12,4,3,1,2,2,0
2011-12,South Wales Police,146,0,0,3,1,4,3,0,0,0,0,0
2011-12,South Wales Police,199,23,2,18,75,306,42,80,138,56,64,7
2011-12,South Wales Police,198,3,0,8,2,22,11,13,5,1,1,1
2011-12,South Wales Police,147,2,0,2,1,3,0,0,1,1,0,0
2011-12,South Wales Police,195,1,0,0,0,1,0,0,0,0,0,0
2011-12,South Wales Police,194,0,0,0,0,0,1,0,0,0,0,0
2011-12,South Wales Police,197,1,0,1,0,0,2,0,1,0,0,0
2011-12,South Wales Police,196,1,0,1,2,7,1,0,1,0,0,0
2011-12,South Wales Police,191,1,0,0,5,19,5,0,3,4,0,1
2011-12,South Wales Police,190,6,0,6,3,16,4,1,5,2,4,1
2011-12,South Wales Police,193,6,0,3,6,13,8,2,3,0,0,1
2011-12,South Wales Police,192,1,0,0,1,4,1,0,0,0,2,0
2011-12,South Wales Police,115,1,0,0,1,3,2,2,3,0,2,1
2011-12,South Wales Police,114,1,0,1,1,2,2,0,0,2,1,0
2011-12,South Wales Police,117,3,0,2,2,11,4,0,0,0,0,0
2011-12,South Wales Police,116,1,0,3,1,7,0,0,2,1,0,0
2011-12,South Wales Police,111,3,0,1,2,15,6,5,3,1,1,0
2011-12,South Wales Police,110,1,0,0,5,8,2,0,1,0,0,0
2011-12,South Wales Police,113,2,0,4,3,7,1,0,4,0,1,0
2011-12,South Wales Police,112,0,0,1,0,2,0,0,1,0,0,1
2011-12,South Wales Police,82,2,0,0,0,5,3,0,0,0,0,1
2011-12,South Wales Police,142,0,0,3,1,4,3,0,0,0,1,0
2011-12,South Wales Police,80,9,1,7,11,73,34,5,8,3,1,0
2011-12,South Wales Police,81,19,2,20,14,58,12,6,7,6,1,2
2011-12,South Wales Police,119,1,0,0,2,4,5,0,1,0,0,0
2011-12,South Wales Police,118,2,0,0,4,6,3,0,5,1,0,0
2011-12,South Wales Police,84,14,3,9,13,101,19,14,27,10,3,4
2011-12,South Wales Police,143,0,0,0,2,7,5,0,2,0,1,1
2011-12,South Wales Police,140,4,0,1,3,16,5,2,1,0,0,0
2011-12,South Wales Police,66,15,0,2,12,78,22,13,2,11,1,5
2011-12,South Wales Police,141,1,0,0,2,5,0,0,1,3,0,0
2011-12,South Wales Police,27,3,0,0,9,27,5,4,6,8,4,1
2011-12,South Wales Police,3,7,0,8,5,29,12,6,7,0,3,4
2011-12,South Wales Police,7,2,0,4,5,25,11,0,0,3,2,0
2011-12,South Wales Police,92,9,0,21,8,48,7,9,9,3,1,6
2011-12,South Wales Police,108,2,0,0,3,1,0,0,3,3,1,0
2011-12,South Wales Police,109,1,0,3,4,7,0,1,3,3,1,1
2011-12,South Wales Police,95,6,0,6,4,24,10,1,2,2,3,0
2011-12,South Wales Police,103,2,0,2,8,20,8,1,7,3,6,0
2011-12,South Wales Police,100,5,0,2,6,10,6,1,0,1,0,2
2011-12,South Wales Police,101,1,0,2,4,16,6,2,1,0,0,1
2011-12,South Wales Police,106,3,1,1,5,7,4,1,9,2,2,0
2011-12,South Wales Police,107,0,0,1,2,1,0,5,0,0,0,1
2011-12,South Wales Police,104,1,0,3,0,2,1,1,2,1,0,1
2011-12,South Wales Police,105,0,0,0,0,0,0,0,1,0,0,1
2011-12,South Wales Police,39,3,0,2,4,18,6,0,2,5,1,1
2011-12,South Wales Police,38,4,2,1,5,21,4,1,2,0,1,0
2011-12,South Wales Police,33,0,0,0,1,16,1,0,3,0,0,0
