Month,Force,Neighbourhood,Burglary,Robbery,Vehicle crime,Violent crime,Anti-social behaviour,Criminal damage and arson,Shoplifting,Other theft,Drugs,Public disorder and weapons,Other crime
2011-12,Sussex Police,EW2NH30,1,0,2,3,8,3,0,6,1,1,1
2011-12,Sussex Police,CW2NH1,8,0,3,1,46,5,11,13,0,1,3
2011-12,Sussex Police,CW2NH2,5,0,6,7,40,5,0,16,2,2,2
2011-12,Sussex Police,ER2NH1,0,0,1,0,12,2,0,4,1,1,1
2011-12,Sussex Police,ER3NH38,2,0,0,1,8,3,0,3,0,0,0
2011-12,Sussex Police,ER3NH39,4,0,0,3,19,3,1,3,3,1,0
2011-12,Sussex Police,WH2NH11,8,0,3,8,23,11,1,6,2,0,1
2011-12,Sussex Police,WH2NH10,9,0,2,4,9,3,0,5,0,1,2
2011-12,Sussex Police,WW2NH6,4,1,1,10,31,9,4,1,0,2,2
2011-12,Sussex Police,ER3NH31,4,0,0,0,15,2,0,3,0,0,0
2011-12,Sussex Police,WH1NH2,2,0,2,7,35,3,0,6,3,1,3
2011-12,Sussex Police,ES2NH30,1,0,0,0,4,0,0,1,0,0,0
2011-12,Sussex Police,WW2NH12,3,0,5,3,27,6,2,3,3,1,0
2011-12,Sussex Police,WW2NH13,2,1,6,2,12,0,3,5,0,0,2
2011-12,Sussex Police,WW2NH10,2,0,2,5,21,3,10,5,0,0,2
2011-12,Sussex Police,WH1NH3,6,1,3,11,43,13,18,24,0,2,4
2011-12,Sussex Police,EW2NH22,1,0,1,0,15,1,0,1,0,3,3
2011-12,Sussex Police,ES1NH22,2,0,1,1,3,4,0,1,0,0,0
2011-12,Sussex Police,EW2NH24,1,0,1,0,8,4,0,0,0,0,0
2011-12,Sussex Police,WH1NH1,1,0,0,1,11,3,4,0,1,2,1
2011-12,Sussex Police,CC2NH4,1,0,4,0,13,2,0,4,0,0,1
2011-12,Sussex Police,CE2NH3,1,0,2,4,12,3,0,1,0,0,1
2011-12,Sussex Police,CC2NH6,2,1,5,3,23,6,0,5,2,0,1
2011-12,Sussex Police,CE2NH1,2,0,10,17,59,14,1,10,6,2,2
2011-12,Sussex Police,CE2NH6,1,0,1,2,14,1,0,3,0,1,0
2011-12,Sussex Police,ER2NH2,0,0,1,0,6,1,0,2,0,0,0
2011-12,Sussex Police,CE2NH4,0,0,2,3,6,2,0,0,1,0,0
2011-12,Sussex Police,CC2NH3,2,2,1,5,37,1,0,7,7,4,2
2011-12,Sussex Police,WW2NH7,12,2,1,3,25,7,1,3,0,2,0
2011-12,Sussex Police,EH3NH13,0,0,1,1,13,5,1,1,0,1,2
2011-12,Sussex Police,EE1NH9,7,0,2,4,28,3,0,5,1,0,1
2011-12,Sussex Police,EH3NH15,3,1,8,3,15,2,1,0,1,0,1
2011-12,Sussex Police,WH1NH7,6,0,9,8,23,18,0,12,1,0,1
2011-12,Sussex Police,WH1NH4,3,0,2,7,25,8,2,7,2,3,1
2011-12,Sussex Police,EH3NH8,2,1,3,7,36,17,9,9,1,0,0
2011-12,Sussex Police,EH3NH9,5,0,2,2,5,2,0,7,0,0,1
2011-12,Sussex Police,EW2NH36,1,0,1,0,13,2,0,1,0,1,2
2011-12,Sussex Police,EW2NH37,2,0,0,0,2,2,0,0,0,0,0
2011-12,Sussex Police,EW2NH35,2,0,1,2,12,0,2,0,1,0,3
2011-12,Sussex Police,EE3NH22,0,0,0,0,2,0,0,0,0,0,0
2011-12,Sussex Police,EW2NH33,3,0,1,2,12,1,3,5,1,0,3
2011-12,Sussex Police,EE3NH20,1,0,0,1,3,1,0,0,0,0,0
2011-12,Sussex Police,EE3NH21,2,0,3,6,16,1,3,4,1,0,1
2011-12,Sussex Police,EW2NH39,0,0,2,0,3,1,0,2,0,0,0
2011-12,Sussex Police,WR2NH4,10,0,8,10,41,3,0,6,3,0,2
2011-12,Sussex Police,WR4NH12,2,0,8,8,38,5,2,3,2,2,1
2011-12,Sussex Police,CE3NH21,2,0,5,7,39,9,0,8,1,1,3
2011-12,Sussex Police,ES1NH7,2,0,11,3,26,13,4,9,1,1,2
2011-12,Sussex Police,ES1NH6,1,1,0,3,11,2,0,5,0,0,1
2011-12,Sussex Police,ES1NH5,1,0,0,0,5,1,0,2,2,0,1
2011-12,Sussex Police,ES1NH4,5,0,3,1,6,1,0,2,1,0,0
2011-12,Sussex Police,ES1NH3,2,0,5,1,5,1,0,4,1,0,0
2011-12,Sussex Police,ES1NH2,1,0,1,1,12,5,0,1,0,0,1
2011-12,Sussex Police,ES1NH1,1,0,2,3,8,2,4,0,0,0,1
2011-12,Sussex Police,ES2NH40,2,0,1,1,4,1,0,0,0,0,0
2011-12,Sussex Police,ES1NH9,6,0,1,4,10,4,0,0,4,0,1
2011-12,Sussex Police,ES1NH8,0,0,0,0,0,0,0,0,0,0,0
2011-12,Sussex Police,ER1NH2,2,0,0,1,9,2,0,1,0,0,1
2011-12,Sussex Police,ER1NH3,2,0,0,0,7,3,0,3,0,0,0
2011-12,Sussex Police,ER1NH1,6,0,4,7,39,6,7,10,4,0,1
2011-12,Sussex Police,ER1NH6,2,0,3,2,16,1,0,1,1,0,0
2011-12,Sussex Police,ER1NH7,2,0,0,2,6,7,0,1,1,0,0
2011-12,Sussex Police,ER1NH4,6,0,6,1,4,5,0,0,0,0,0
2011-12,Sussex Police,ER1NH5,1,0,0,0,10,0,0,0,1,0,1
2011-12,Sussex Police,WR4NH11,3,1,6,2,7,6,0,3,0,0,0
2011-12,Sussex Police,ER1NH8,3,0,0,0,16,5,5,4,1,1,1
2011-12,Sussex Police,ER1NH9,0,0,1,1,40,12,3,0,1,1,0
2011-12,Sussex Police,WC1NH1,1,0,3,11,40,5,17,22,4,7,5
2011-12,Sussex Police,WR1NH2,4,1,6,6,49,10,14,11,0,6,4
2011-12,Sussex Police,EW2NH43,3,0,3,6,29,3,0,5,1,0,0
2011-12,Sussex Police,WM3NH1,3,0,3,3,9,2,0,1,0,0,0
2011-12,Sussex Police,WC1NH2,5,0,2,0,18,2,0,7,1,2,0
2011-12,Sussex Police,WH2NH9,7,0,1,7,19,6,2,1,3,0,1
2011-12,Sussex Police,EW2NH45,1,0,4,5,22,8,11,4,1,2,1
2011-12,Sussex Police,EW2NH44,1,0,3,0,12,0,0,5,0,0,1
2011-12,Sussex Police,WC1NH5,1,1,0,4,27,2,3,4,2,4,4
2011-12,Sussex Police,EH4NH7,1,0,1,3,8,4,4,4,2,0,1
2011-12,Sussex Police,WM3NH3,4,0,0,4,9,3,0,1,1,0,0
2011-12,Sussex Police,EH4NH5,4,2,7,8,48,12,3,5,0,1,1
2011-12,Sussex Police,EH4NH4,6,0,9,10,69,19,6,22,7,3,2
2011-12,Sussex Police,ER2NH17,3,1,10,0,16,1,3,4,1,0,1
2011-12,Sussex Police,WA3NH40,6,0,2,2,5,0,0,0,1,1,0
2011-12,Sussex Police,ER2NH14,2,0,0,0,4,0,0,0,0,0,0
2011-12,Sussex Police,CC2NH23,1,0,0,1,18,0,0,5,0,2,0
2011-12,Sussex Police,CC2NH22,1,0,3,1,21,4,0,1,0,0,2
2011-12,Sussex Police,ER2NH11,2,0,0,0,4,2,0,1,0,1,0
2011-12,Sussex Police,WR4NH10,3,0,4,9,46,11,0,5,5,1,2
2011-12,Sussex Police,WA1NH3,3,0,0,1,15,6,0,1,0,1,0
2011-12,Sussex Police,CE3NH13,8,0,8,2,33,7,0,2,1,0,0
2011-12,Sussex Police,CE3NH12,4,0,3,11,35,11,2,5,7,3,2
2011-12,Sussex Police,WM3NH4,3,0,4,6,17,5,0,8,0,1,2
2011-12,Sussex Police,CC1NH5,5,0,2,5,32,3,9,10,7,2,2
2011-12,Sussex Police,CC1NH4,2,1,0,0,14,2,5,8,1,0,3
2011-12,Sussex Police,CC1NH7,2,0,3,13,66,7,20,23,4,3,5
2011-12,Sussex Police,CC1NH6,1,1,2,9,23,2,3,4,1,0,0
2011-12,Sussex Police,CC1NH1,21,2,8,61,156,12,57,138,14,14,9
2011-12,Sussex Police,WW1NH3,1,0,2,8,18,6,3,12,2,0,0
2011-12,Sussex Police,CC1NH3,1,0,0,10,10,4,0,38,3,0,1
2011-12,Sussex Police,CC1NH2,11,1,10,15,83,11,21,33,7,2,0
2011-12,Sussex Police,EH1NH6,7,1,9,8,17,1,9,5,1,0,3
2011-12,Sussex Police,CC1NH8,0,0,2,3,9,4,0,0,1,0,1
2011-12,Sussex Police,EH1NH2,2,0,13,21,99,13,43,28,18,5,3
2011-12,Sussex Police,EH1NH3,2,0,4,4,23,11,1,3,3,3,3
2011-12,Sussex Police,ES2NH2,1,0,1,6,19,9,0,4,2,0,1
2011-12,Sussex Police,ES2NH3,1,0,7,3,21,8,2,0,0,1,0
2011-12,Sussex Police,EH1NH14,8,0,6,1,6,1,0,0,1,0,1
2011-12,Sussex Police,ES2NH1,2,0,1,1,8,1,1,4,0,2,1
2011-12,Sussex Police,ES2NH6,0,0,0,0,2,8,0,2,0,0,0
2011-12,Sussex Police,ES2NH7,2,0,1,5,22,8,0,2,3,2,0
